Date,Open,High,Low,Close,Adj Close,Volume,BB_H_indicator,BB_l_indicator,BB_MA_indicator,RSI,Stoch,MACD,EMA_ind,EMA,Ichi,MA7,MA21,log_momentum
2010-12-07,3.7125,3.8325,3.705,3.745,3.437862,102681200,3.745540945867011,3.049459054132989,3.3975,73.25717050022848,0.8071368148491919,0.16581299611418432,3.522034086483498,3.7087070611752098,3.40875,3.5796428571428573,3.386428571428572,1.009781074961494
2010-12-08,3.74,3.8175,3.7125,3.7775,3.467695,61325200,3.794436040915512,3.0635639590844876,3.429,74.23416942573712,0.893300800632016,0.17390959918966375,3.561336534716806,3.7545690203917363,3.41875,3.628214285714286,3.415595238095238,1.021551242531648
2010-12-09,3.6875,3.74,3.635,3.715,3.410322,94240800,3.8231771681788302,3.0878228318211693,3.4555,69.01265138166978,0.43280202753505437,0.17328546086772123,3.584977067837297,3.728189673463912,3.4225000000000003,3.672857142857143,3.442619047619048,0.9987919533858987
2010-12-10,3.715,3.7725,3.705,3.7375,3.430977,45190000,3.8443431729051656,3.1251568270948353,3.4847500000000005,69.83523500638816,0.5053477406314312,0.17261657231500038,3.608442134323867,3.734396557821304,3.45,3.6992857142857143,3.468928571428571,1.007045095142619
2010-12-13,3.7525,3.76,3.6325,3.6425,3.343768,60910800,3.858124562324667,3.1441254376753323,3.5011249999999996,62.31372364226104,0.0,0.16254702632851004,3.6136818059663494,3.673132185940435,3.45,3.7060714285714282,3.492261904761905,0.9717254387622557
2010-12-14,3.7125,3.78,3.6425,3.6475,3.348358,75516000,3.8663329626510863,3.173167037348913,3.5197499999999997,62.54238968013306,0.017415155126999277,0.15320425353193157,3.6188846050484496,3.656044061980145,3.45,3.698928571428571,3.508095238095238,0.9736157984934245
2010-12-15,3.655,3.7,3.5625,3.5675,3.27492,62417600,3.848487368375823,3.230012631624177,3.53925,56.6225181264895,0.0,0.13775673349436213,3.610979281194842,3.597014687326715,3.45,3.6903571428571427,3.5220238095238092,0.9429326628205762
2010-12-16,3.605,3.625,3.5625,3.5725,3.279509,63187200,3.831236214979496,3.281513785020504,3.556375,56.89712333414819,0.01458997808521847,0.12448295872425108,3.6050593917802507,3.580671562442238,3.45,3.665714285714286,3.5408333333333335,0.9448781887260675
2010-12-17,3.575,3.6125,3.5325,3.5925,3.297868,59315600,3.824198841772013,3.3148011582279873,3.5695,58.041346277569225,0.07538339060442534,0.1142601100157683,3.603127177660212,3.588557187480746,3.45,3.639285714285714,3.558095238095238,0.9526226611215453
2010-12-20,3.605,3.6225,3.575,3.5775,3.284099,34408800,3.8238934113916634,3.329106588608337,3.5765000000000002,56.822989670864985,0.010651201643573955,0.10375206490210465,3.5991845349432565,3.5811857291602487,3.48875,3.619642857142857,3.5698809523809523,0.946819936908978
2010-12-21,3.6125,3.7175,3.61,3.7175,3.412617,46695200,3.83671457761595,3.344035422384049,3.5903749999999994,64.34564250639725,0.41033531888558733,0.10550499747798536,3.617386914182756,3.672061909720083,3.48875,3.6167857142857143,3.583214285714286,0.9997123400132274
2010-12-22,3.71,3.7625,3.675,3.7575,3.449336,47798800,3.842789781542868,3.3777102184571315,3.6102499999999997,66.15977234831274,0.5067213811272967,0.10886692473854165,3.638942773539255,3.729020636573361,3.48875,3.6332142857142857,3.598333333333333,1.0143244721455205
